S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
1,A,AML831,THEORY OF PLATES AND SHELLS,3,3,0,0,SANTOSH KAPURIA,12
2,A,AML832,APPLICATIONS OF THEORY OF PLATES AND SHELLS,2,2,0,0,MALOY KUMAR SINGHA,17
3,B,AML710,COMPUTER AIDED DESIGN,4,3,0,2,SRIRAM HEGDE,89
4,B,AML110,ENGINEERING MECHANICS,4,3,0,2,P K SEN,140
5,B,AML871,PRODUCT RELIABILITY AND MAINTENANCE,3,3,0,0,SUHAIL AHMED,19
6,B,AML360,ENGINEERING FLUID FLOWS,4,3,1,0,V SESHADRI,44
7,B,AML120,MATERIALS SCIENCE,4,3,0,2,S K GUPTA,125
8,B,AML795,SUBMARINE DESIGN,3,3,0,0,MALOY KUMAR SINGHA,17
9,C,AML793,SHIP DYNAMICS,3,3,0,0,MALOY KUMAR SINGHA,17
10,C,AML833,APPLIED PLASTICITY,3,3,0,0,MALOY KUMAR SINGHA,10
11,D,AML130,EXPERIMENTAL METHODS AND ANALYSIS,5,3,1,2,R K MITTAL,40
12,D,AML852,ENGINEERING FAILURE ANALYSIS AND PREVENTION,3,3,0,0,R K PANDEY,34
13,D,AML812,TURBULENT SHEAR FLOWS,3,3,0,0,MURALI RAMAN CHOLEMARI,4
14,D,AML310,COMPUTATIONAL MECHANICS,4,3,0,2,SUHAIL AHMED,13
15,D,AMP262,FLUIDS & SOLIDS LABORATORY,1.5,0,0,3,PUNEET MAHAJAN,67
16,E,AML702,APPLIED COMPUTATIONAL METHOD,4,3,0,2,C V RAMAKRISHNAN,19
17,E,AML700,EXPERIMENTAL METHODS FOR SOLID AND FLUIDS,4,3,0,2,S V VEERAVALLI,19
18,F,AML794,WARSHIP DESIGN,3,3,0,0,MALOY KUMAR SINGHA,17
19,F,AML835,MECHANICS OF COMPOSITE MATERIALS,3,3,0,0,SANTOSH KAPURIA,17
20,H,AML706,FINITE ELEMENT METHODS & ITS APPL TO MARINE STRU,3,3,0,0,PUNEET MAHAJAN,18
21,H,AML705,FINITE ELEMENT METHODS,4,3,0,2,D K SEHGAL,73
22,J,AML774,MODELLING AND ANALYSIS II,3,3,0,0,MALOY KUMAR SINGHA,19
23,K,AML811,ADVANCED COMPUTATIONAL FLUID DYNAMICS,3,3,0,0,BALAJI SRINIVASAN,17
24,P,AMD812,MAJOR PROJECT PART-II,12,0,0,24,SANTOSH KAPURIA,21
25,P,AMD310,MINI PROJECT (AM),3,0,0,6,RAJESH PRASAD,1
26,P,AMD814,MAJOR PROJECT PART-II,12,0,0,24,BADRI PRASAD PATEL,13
27,R,AMP777,PRODUCT DESIGN PROJECT II,2,0,0,4,S N SINGH,19
28,B,BEL702,BIOPROCESS PLANT DESIGN,5,3,0,4,T R SREEKRISHNAN,23
29,B,BEL102,BIOPROCESS CALCULATIONS,4,3,1,0,ADITYA MITTAL,49
30,C,BEL420,ANALYTICAL METHODS IN BIOTECHNOLOGY,3,2,0,2,SAROJ MISHRA,9
31,C,BEL703,DOWNSTREAM PROCESSING IN BIOTECHNOLOGY,5,3,0,4,G P AGARWAL,23
32,C,BEL411,FOOD SCIENCE AND ENGINEERING,3,3,0,0,S N MUKHOPADHYAY,6
33,D,BEL711,RECOMBINANT DNA TECHNOLOGY,4,2,0,4,SAROJ MISHRA,7
34,D,BEL110,MOLECULAR CELL BIOLOGY,3,3,0,0,PRASHANT MISHRA,77
35,D,BEL712,PLANT CELL TECHNOLOGY,3,2,0,2,A K SRIVASTAVA,19
36,D,BEL312,CARBOHYDRATES AND LIPIDS IN BIOTECHNOLOGY,3,2,1,0,PRASHANT MISHRA,24
37,D,BEL311,PHYSICAL AND CHEMICAL PROPERTIES OF BIOMOLECULES,3,2,1,0,TAPAN KUMAR CHAUDHURI,17
38,E,BEL721,BIONANOTECHNOLOGY,3,3,0,0,SUBHASH CHAND,23
39,E,BEL720,BIOTECHNOLOGY IN FOOD PROCESSING,3,3,0,0,S N MUKHOPADHYAY,19
40,E,BEL401,BIOPROCESS TECHNOLOGY,2,2,0,0,VIKRAM SAHAI,27
41,H,BEL418,BIOINFORMATICS,3,2,0,2,D SUNDAR,28
42,H,BEL302,FLUID SOLID SYSTEMS,3,3,0,0,T RSREEKRISHNAN,33
43,P,BES350,INDEPENDENT STUDY (BB),3,0,3,0,JAMES GOMES,1
44,P,BED853,MAJOR PROJECT PART 1 (BB),4,0,0,8,PRASHANT MISHRA,1
45,P,BED852,MAJOR PROJECT PART 2 (BB),14,0,0,28,PRASHANT MISHRA,21
46,P,BED854,MAJOR PROJECT PART 2 (BB),16,0,0,32,PRASHANT MISHRA,5
47,P,BED800,MAJOR PROJECT,40,0,0,80,PRASHANT MISHRA,1
